,Word,definition
1026,air,"(uncountable, meteorology) The substance constituting earth's atmosphere, particularly:"
1027,air,"To bring (something) into contact with the air, so as to freshen or dry it."
1028,nature,"(uncountable) The natural world; that which consists of all things unaffected by or predating human technology, production, and design. E.G. the ecosystem, the natural environment, virgin ground, unmodified species, laws of nature."
1029,nature,(obsolete) To endow with natural qualities.
1030,answered,simple past tense and past participle of answer
1031,either,One of two.
1032,either,One or other of two people or things.
1033,either,"(conjunctive, after a negative) As well."
1034,either,"Introduces the first of two (or occasionally more) options or possibilities, the second (or last) of which is introduced by ""or""."
1035,law,"The body of binding rules and regulations, customs, and standards established in a community by its legislative and judicial authorities."
1036,law,(obsolete) To work as a lawyer; to practice law.
1037,law,(obsolete) A tumulus of stones.
1038,law,(dated) An exclamation of mild surprise; lawks.
1039,help,(transitive) To provide assistance to (someone or something).
1040,help,A cry of distress or an urgent request for assistance
1041,help,(uncountable) Action given to provide assistance; aid.
1042,lay,simple past tense of lie when pertaining to position.
1043,lay,"(Judaism, transitive) To don or put on (tefillin (phylacteries))."
1044,lay,(obsolete) A law.
1045,lay,"(transitive) To place down in a position of rest, or in a horizontal position."
1046,lay,Arrangement or relationship; layout.
1047,lay,A lake.
1048,lay,Non-professional; not being a member of an organized institution.
1049,lay,(obsolete) A meadow; a lea.
1050,lay,"A ballad or sung poem; a short poem or narrative, usually intended to be sung."
1051,point,A discrete division of something.
1052,point,(intransitive) To extend the index finger in the direction of something in order to show where it is or to draw attention to it.
1053,child,"A person who has not yet reached adulthood, whether natural (puberty), cultural (initiation), or legal (majority)"
1054,letter,"One who lets, or lets out."
1055,letter,A symbol in an alphabet.
1056,letter,"(transitive) To print, inscribe, or paint letters on something."
1057,four,(cardinal) A numerical value equal to 4; the number after three and before five; two plus two. This many dots (••••)
1058,four,(countable) The digit or figure 4; an occurrence thereof.
1059,wish,"A desire, hope, or longing for something or for something to happen."
1060,wish,(transitive) To desire; to want.
1061,fire,"(transitive) To set (something, often a building) on fire."
1062,fire,"(uncountable) A (usually self-sustaining) chemical reaction involving the bonding of oxygen with carbon or other fuel, with the production of heat and the presence of flame or smouldering."
1063,fire,(slang) Amazing; excellent.
1064,cried,simple past tense and past participle of cry
1065,2,"(text messaging, informal) Abbreviation of to."
1066,2,"(text messaging, informal) Abbreviation of too."
1067,women,plural form of woman
1068,speak,"(intransitive) To communicate with one's voice, to say words out loud."
1069,speak,"language, jargon, or terminology used uniquely in a particular environment or group."
1070,speak,"(dated) a low class bar, a speakeasy."
1071,number,comparative form of numb: more numb
1072,number,(countable) An abstract entity used to describe quantity.
1073,number,(transitive) To label (items) with numbers; to assign numbers to (items).
1074,therefore,"(conjunctive) For that or this purpose, referring to something previously stated."
1075,hour,A time period of sixty minutes; one twenty-fourth of a day.
1076,friends,plural of friend
1077,friends,Third-person singular simple present indicative form of friend
1078,held,simple past tense and past participle of hold
1079,free,(social) Unconstrained.
1080,free,Without needing to pay.
1081,free,"(transitive) To make free; set at liberty; release; rid of that which confines, limits, embarrasses, or oppresses."
1082,free,"(Australian rules football, Gaelic football) Abbreviation of free kick.."
1083,war,"(uncountable) Organized, large-scale, armed conflict between countries or between national, ethnic, or other sizeable groups, usually involving the engagement of military forces."
1084,war,"(intransitive) To engage in conflict (may be followed by ""with"" to specify the foe)."
1085,during,For all of a given time interval.
1086,during,present participle of dure
1087,several,"(obsolete) Separate, distinct; particular. [15th-19th century]"
1088,several,By itself; severally.
1089,several,(obsolete) An area of land in private ownership (as opposed to common land).
1090,business,(countable) A specific commercial enterprise or establishment.
1091,business,"Of, to, pertaining to or utilized for purposes of conducting trade, commerce, governance, advocacy or other professional purposes."
1092,whether,(obsolete) Which of two.
1093,whether,(obsolete) Which of two. [11th-19th c.]
1094,whether,(obsolete) Introducing a direct interrogative question (often with correlative or) which indicates doubt between alternatives.
1095,er,Said when hesitating in speech.
1096,er,"(informal) To utter the word ""er"" when hesitating in speech, found almost exclusively in the phrase um and er."
1097,manner,Mode of action; way of performing or doing anything
1098,second,"(transitive, Britain) To transfer temporarily to alternative employment."
1099,second,"One who supports another in a contest or combat, such as a dueller's assistant."
1100,second,"One-sixtieth of a minute; the SI unit of time, defined as the duration of 9,192,631,770 periods of radiation corresponding to the transition between two hyperfine levels of caesium-133 in a ground state at a temperature of absolute zero and at rest."
1101,second,Number-two; following after the first one with nothing between them. The ordinal number corresponding to the cardinal number two.
1102,second,(with superlative) After the first; at the second rank.
1103,second,One that is number two in a series.
1104,second,"(transitive) To agree as a second person to (a proposal), usually to reach a necessary quorum of two. (See under #Etymology 3 for translations.)"
1105,reason,A cause:
1106,reason,(intransitive) To deduce or come to a conclusion by being rational
1107,replied,simple past tense and past participle of reply
1108,united,simple past tense and past participle of unite
1109,united,Joined into a single entity.
1110,call,A telephone conversation.
1111,call,(heading) To use one's voice.
1112,general,"Including or involving every part or member of a given or implied entity, whole etc.; as opposed to specific or particular. [from 13th c.]"
1113,general,(now rare) A general fact or proposition; a generality. [from 16th c.]
1114,general,to lead (soldiers) as a general
1115,why,"(Britain, dialectal) A young heifer."
1116,why,"For what cause, reason, or purpose (interrogative adverb)."
1117,why,reason
1118,why,"An exclamation used to express indignation, mild surprise, or impatience."
1119,behind,At the back of; positioned with something else in front of.
1120,behind,At the back part; in the rear. (Can we clean up(+) this sense?)
1121,behind,"the rear, back-end"
1122,became,simple past tense of become
1123,john,(slang) A prostitute's client.
1124,become,"(intransitive, obsolete) To arrive, come (to a place). [9th-18thc.]"
1125,dead,(not comparable) No longer living.
1126,dead,"(degree, informal, colloquial) Exactly."
1127,dead,"(uncountable, singular only, often with ""the"") Time when coldness, darkness, or stillness is most intense."
1128,dead,(transitive) To prevent by disabling; stop.
1129,earth,"Our planet, third out from the Sun; see main entry Earth."
1130,earth,(uncountable) Soil.
1131,earth,"(Britain, transitive) To connect electrically to the earth."
1132,boy,"A young male, [from 15th c.] particularly"
1133,boy,"Exclamation of surprise, pleasure or longing."
1134,boy,to use the word boy to refer to someone
1135,lost,simple past tense and past participle of lose
1136,lost,"Having wandered from, or unable to find, the way."
1137,forth,Misspelling of fourth.
1138,forth,Misspelling of fourth.
1139,forth,"Forward in time, place or degree."
1140,forth,(obsolete) Forth from; out of.
1141,thousand,"(cardinal) A numerical value equal to 1,000 = 10 × 100 = 103"
1142,looking,present participle of look
1143,looking,The act of one who looks; a glance.
1144,family,"(countable) A group of people who are closely related to one another (by blood, marriage or adoption); kin; for example, a set of parents and their children; an immediate family."
1145,family,Suitable for children and adults.
1146,soul,(obsolete) To afford suitable sustenance.
1147,soul,"(religion, folklore) The spirit or essence of a person usually thought to consist of one's thoughts and personality. Often believed to live on after the person's death."
1148,soul,"(obsolete, transitive) To endow with a soul; to furnish with a soul or mind."
1149,feel,(dialectal or obsolete) Alternative form of fele
1150,feel,(dialectal or obsolete) Alternative form of fele
1151,feel,(dialectal or obsolete) Alternative form of fele
1152,feel,(heading) To use the sense of touch.
1153,feel,A quality of an object experienced by touch.
1154,coming,The act of arriving; an arrival
1155,coming,"Approaching; of the future, especially the near future; the next."
1156,coming,present participle of come
1157,England,The region of the island of Great Britain which is to the east of Wales and the south of Scotland; one of the constituent countries of the United Kingdom.
1158,spirit,The soul of a person or other creature.
1159,spirit,"To carry off, especially in haste, secrecy, or mystery."
1160,question,"A sentence, phrase or word which asks for information, reply or response; an interrogative."
1161,question,To ask questions of; interrogate; enquire; ask for information.
1162,care,"(obsolete) Grief, sorrow."
1163,care,"(transitive, intransitive) To be concerned about, have an interest in."
1164,truth,"True facts, genuine depiction or statements of reality."
1165,truth,"(obsolete, transitive) To assert as true; to declare; to speak truthfully."
1166,ground,simple past tense and past participle of grind
1167,ground,"Crushed, or reduced to small particles."
1168,ground,"(uncountable) The surface of the Earth, as opposed to the sky or water or underground."
1169,ground,(US) To connect (an electrical conductor or device) to a ground.
1170,really,"(literally) In a way or manner that is real, not unreal."
1171,really,"Indicating surprise at, or requesting confirmation of, some new information; to express skepticism."
1172,really,Alternative form of re-ally
1173,rest,"(intransitive) To cease from action, motion, work, or performance of any kind; stop; desist; be without motion."
1174,rest,"(uncountable, of a person or animal) Relief from work or activity by sleeping; sleep."
1175,rest,(uncountable) That which remains.
1176,rest,(obsolete) To remain.
1177,rest,(obsolete) To arrest.
1178,mean,(obsolete) Common; general.
1179,mean,To intend.
1180,mean,"(Ireland, Britain  regional) To lament."
1181,mean,Having the mean (see noun below) as its value.
1182,mean,(now chiefly in the plural) A method or course of action used to achieve some result. [from 14th c.]
1183,different,Not the same; exhibiting a difference.
1184,different,(mathematics) The different ideal.
1185,making,"The act of forming, causing, or constituting; workmanship; construction."
1186,making,present participle of make
1187,possible,(usually not comparable) Able but not certain to happen; neither inevitable nor impossible.
1188,possible,A possible one.
1189,fell,(transitive) To make something fall; especially to chop down a tree.
1190,fell,A cutting-down of timber.
1191,fell,"An animal skin, hide, pelt."
1192,fell,simple past tense of fall
1193,fell,Of a strong and cruel nature; eagre and unsparing; grim; fierce; ruthless; savage.
1194,fell,Sharply; fiercely.
1195,fell,(archaic  outside  Britain) A rocky ridge or chain of mountains.
1196,fell,Gall; anger; melancholy.
1197,fell,"(mining) The finer portions of ore, which go through the meshes when the ore is sorted by sifting."
1198,towards,Alternative form of toward
1199,towards,In the direction of something (indicated by context).
1200,towards,Near; at hand; in state of preparation; toward.
1201,human,(not comparable) Of or belonging to the species Homo sapiens or its closest relatives.
1202,human,"A human being, whether man, woman or child."
1203,human,"(rare) To behave as or become, or to cause to behave as or become, a human."
1204,kept,simple past tense and past participle of keep
1205,short,"Having a small distance from one end or edge to another, either horizontally or vertically."
1206,short,"Abruptly, curtly, briefly."
1207,short,A short circuit.
1208,short,(transitive) To cause a short circuit in (something).
1209,short,Deficient in.
1210,town,"A settlement; an area with residential districts, shops and amenities, and its own local government; especially one larger than a village and smaller than a city."
1211,following,"Coming next, either in sequence or in time."
1212,following,"After, subsequent to."
1213,following,"A group of followers, attendants or admirers; an entourage."
1214,following,present participle of follow
1215,need,(transitive) To have an absolute requirement for.
1216,need,(countable and uncountable) A requirement for something; something needed.
1217,cause,"(countable, often with of, typically of adverse results) The source of, or reason for, an event or action; that which produces or effects a result."
1218,cause,To set off an event or action.
1219,met,simple past tense and past participle of meet
1220,met,(obsolete) To dream.
1221,evening,present participle of evene
1222,evening,present participle of even
1223,evening,"The time of the day between dusk and night, when it gets dark."
1224,returned,simple past tense and past participle of return
1225,five,(cardinal) A numerical value equal to 5; the number following four and preceding six. This many dots: (•••••).
1226,five,The digit/figure 5.
1227,strong,Capable of producing great physical force.
1228,strong,In a strong manner.
1229,able,"(transitive, obsolete) To make ready. [Attested from around (1150 to 1350) until the late 16th century.]"
1230,able,"(military) The letter ""A"" in Navy Phonetic Alphabet."
1231,able,"(obsolete, passive) Easy to use. [Attested from around (1350 to 1470) until the mid 18th century.]"
1232,french,(transitive) To prepare food by cutting it into strips.
1233,live,(intransitive) To be alive; to have life.
1234,live,(only used attributively) Having life; that is alive.
1235,live,"Of an event, as it happens; in real time; direct."
1236,live,(obsolete) life .
1237,lady,(historical) The mistress of a household.
1238,subject,Likely to be affected by or to experience something.
1239,subject,"(transitive, construed with to) To cause (someone or something) to undergo a particular experience, especially one that is unpleasant or unwanted."
1240,subject,"(grammar) In a clause: the word or word group (usually a noun phrase) that is dealt with. In active clauses with verbs denoting an action, the subject and the actor are usually the same."
1241,sn,(Internet) Abbreviation of screenname.
1242,answer,A response or reply; something said or done in reaction to a statement or question.
1243,answer,"(transitive, intransitive) To make a reply or response to."
1244,sea,A large body of salt water.
1245,fear,"(uncountable) A strong, uncontrollable, unpleasant emotion caused by actual or perceived danger or threat."
1246,fear,(transitive) To feel fear about (something or someone); to be afraid of; to consider or expect with alarm.
1247,fear,(dialectal) Able; capable; stout; strong; sound.
1248,understand,(transitive) To be aware of the meaning of.
1249,hard,(of material or fluid) Having a severe property; presenting difficulty.
1250,hard,(manner) With much force or effort.
1251,hard,"(countable, nautical) A firm or paved beach or slope convenient for hauling vessels out of the water."
1252,terms,plural of term
1253,terms,Third-person singular simple present indicative form of term
1254,doubt,"Uncertainty, disbelief."
1255,doubt,"(transitive, intransitive) To lack confidence in; to disbelieve, question, or suspect."
1256,around,Defining a circle or closed curve containing a thing.
1257,around,"(informal, with the verb ""to be"") Alive; existing."
1258,around,Generally.
1259,ask,(Britain dialectal and Scotland) An eft; newt.
1260,ask,"To request (information, or an answer to a question)."
1261,ask,An act or instance of asking.
1262,arms,plural of arm
1263,arms,Clipping of coat of arms.
1264,arms,Third-person singular simple present indicative form of arm
1265,turn,(heading) to make a non-linear physical movement.
1266,turn,A change of direction or orientation.
1267,sense,"Any of the manners by which living beings perceive the physical world: for humans sight, smell, hearing, touch, taste."
1268,sense,"To use biological senses: to either smell, watch, taste, hear or feel."
1269,seems,Third-person singular simple present indicative form of seem
1270,black,(of an object) Absorbing all light and reflecting none; dark and hueless.
1271,black,"(countable and uncountable) The colour/color perceived in the absence of light, but also when no light is reflected, but rather absorbed."
1272,black,"To make black, to blacken."
1273,bring,The sound of a telephone ringing.
1274,bring,(transitive) To transport toward somebody/somewhere.
1275,followed,simple past tense and past participle of follow
1276,beautiful,Attractive and possessing beauty.
1277,close,"(now rare) Closed, shut."
1278,close,(now rare) An enclosed field.
1279,close,(physical) To remove a gap.
1280,close,An end or conclusion.
1281,dark,Having an absolute or (more often) relative lack of light.
1282,dark,A complete or (more often) partial absence of light.
1283,hold,(obsolete) Gracious; friendly; faithful; true.
1284,hold,(transitive) To grasp or grip.
1285,hold,A grasp or grip.
1286,hold,"(nautical, aviation) The cargo area of a ship or aircraft, (often cargo hold)."
1287,character,A being involved in the action of a story.
1288,character,(obsolete) To write (using characters); to describe.
1289,sort,(transitive) To separate according to certain criteria.
1290,sort,A general type.
1291,sight,(in the singular) The ability to see.
1292,sight,(transitive) To register visually.
1293,ten,"(cardinal) The number occurring after nine and before eleven, represented in Arabic numerals (base ten) as 10, in binary (base two) as 1010, in hexadecimal (base sixteen) as A, and in Roman numerals as X."
1294,ten,(uncountable) The number following nine.
1295,show,"(transitive) To display, to have somebody see (something)."
1296,show,"(countable) A play, dance, or other entertainment."
1297,party,(law) A person or group of people constituting a particular side in a contract or legal action.
1298,party,"(intransitive) To celebrate at a party, to have fun, to enjoy oneself."
1299,party,"(obsolete, except in compounds) Divided; in part."
1300,party,(obsolete) Partly.
1301,fine,"(obsolete, intransitive) To finish; to cease."
1302,fine,(obsolete) End; conclusion; termination; extinction.
1303,fine,(music) The end of a musical composition.
1304,fine,Senses referring to subjective quality.
1305,fine,Expression of (typically) reluctant agreement.
1306,fine,Fine champagne; French brandy.
1307,fine,"(transitive) To make finer, purer, or cleaner; to purify or clarify."
1308,fine,A fee levied as punishment for breaking the law.
1309,fine,(transitive) To issue a fine as punishment to (someone).
1310,ye,"(archaic outside Northern England, Cornwall, Ireland) You (the people being addressed)."
1311,ye,(obsolete) Address a single person by the use of the pronoun ye instead of thou.
1312,ye,(slang) Yes.
1313,ye,"The Cyrillic Russian letter Е, е."
1314,ye,"(archaic, definite) the"
1315,ready,Prepared for immediate action or use.
1316,ready,(transitive) To prepare; to make ready for action.
1317,ready,(slang) ready money; cash
1318,story,(obsolete) A building or edifice.
1319,story,"A sequence of real or fictional events; or, an account of such a sequence."
1320,story,To tell as a story; to relate or narrate about.
1321,common,Mutual; shared by more than one.
1322,common,"Mutual good, shared by more than one."
1323,common,(obsolete) To communicate (something).
1324,book,"(Britain dialectal, Northern England) simple past tense of bake"
1325,book,(transitive) To reserve (something) for future use.
1326,book,"A collection of sheets of paper bound together to hinge at one edge, containing printed or written material, pictures, etc."
1327,electronic,"(physics, chemistry): Of or pertaining to an electron or electrons."
1328,talk,"A conversation or discussion; usually serious, but informal."
1329,talk,"(transitive) To communicate, usually by means of speech."
1330,account,"(accounting) A registry of pecuniary transactions; a written or printed statement of business dealings or debts and credits, and also of other things subjected to a reckoning or review. [from c. 1300]"
1331,account,To provide explanation.
1332,mark,"(heading) Boundary, land within a boundary."
1333,mark,To put a mark upon; to make recognizable by a mark.
1334,mark,"A measure of weight (especially for gold and silver), once used throughout Europe, equivalent to 8 oz."
1335,mark,"(imperative, marching) Alternative form of march (said to be easier to pronounce while giving a command)."
1336,interest,"(uncountable, finance) The price paid for obtaining, or price received for providing, money or goods in a credit transaction, calculated as a fraction of the amount or value of what was borrowed. [from earlier 16th c.]"
1337,interest,"To engage the attention of; to awaken interest in; to excite emotion or passion in, in behalf of a person or thing."
1338,written,"Of, relating, or characteristic of writing (i.e., of that which has been written)."
1339,written,past participle of write
1340,can't,Cannot (negative auxiliary); is unable to; does not have the ability to.
1341,bed,"A piece of furniture, usually flat and soft, for resting or sleeping on."
1342,bed,Senses relating to a bed as a place for resting or sleeping.
1343,necessary,"Required, essential, whether logically inescapable or needed in order to achieve a desired result or avoid some penalty."
1344,necessary,"(Britain, archaic euphemistic, usually with the definite article) A place to do the ""necessary"" business of urination and defecation: an outhouse or lavatory."
1345,age,"(countable) The whole duration of a being, whether animal, plant, or other kind, being alive."
1346,age,(transitive) To cause to grow old; to impart the characteristics of age to.
1347,else,"(postpositive, used only with indefinite or interrogative pronouns) Other; in addition to previously mentioned items."
1348,else,"(follows interrogative adverbs) Otherwise, if not."
1349,else,For otherwise; or else.
1350,force,Strength or energy of body or mind; active power; vigour; might; capacity of exercising an influence or producing an effect.
1351,force,(transitive) To violate (a woman); to rape. [from 14thc.]
1352,force,To stuff; to lard; to farce.
1353,force,"(countable, Northern England) A waterfall or cascade."
1354,idea,"(philosophy) An abstract archetype of a given thing, compared to which real-life examples are seen as imperfect approximations; pure essence, as opposed to actual examples. [from 14th c.]"
1355,longer,comparative form of long: more long
1356,longer,comparative form of long: more long
1357,longer,One who longs or yearns for something.
1358,art,Wikiquote
1359,art,(archaic) second-person singular simple present form of be
1360,spoke,simple past tense of speak
1361,spoke,A support structure that connects the axle or the hub of a wheel to the rim.
1362,spoke,(transitive) To furnish (a wheel) with spokes.
1363,across,"To, toward, or from the far side of (something that lies between two points of interest)."
1364,across,From one side to the other.
1365,across,"(crosswords, often in combination) A word that runs horizontally in the completed puzzle grid or its associated clue."
1366,brother,Son of the same parents as another person.
1367,brother,(transitive) To treat as a brother.
1368,brother,Expressing exasperation.
1369,early,At a time in advance of the usual or expected event.
1370,early,At a time before expected; sooner than usual.
1371,early,(informal) A shift (scheduled work period) that takes place early in the day.
1372,ought,(obsolete) simple past tense of owe
1373,ought,(auxiliary) Indicating duty or obligation.
1374,ought,Alternative spelling of aught; anything
1375,ought,"Alternative spelling of aught; at all, to any degree."
1376,ought,A statement of what ought to be the case as contrasted with what is the case.
1377,ought,"Alternative spelling of aught; cipher, zero, nought."
1378,sometimes,"On certain occasions, or in certain circumstances, but not always. [from 16th c.]"
1379,sometimes,(obsolete) Former; sometime.
1380,line,"A path through two or more points (compare ‘segment’); a continuous mark, including as made by a pen; any path, curved or straight."
1381,line,"(transitive) To place (objects) into a line (usually used with ""up""); to form into a line; to align."
1382,line,"(obsolete) Flax; linen, particularly the longer fiber of flax."
1383,line,"(transitive) To cover the inner surface of (something), originally especially with linen."
1384,line,"(transitive, now rare, of a dog) to copulate with, to impregnate."
1385,saying,present participle of say
1386,saying,A proverb or maxim.
1387,table,Furniture with a top surface to accommodate a variety of uses.
1388,table,To tabulate; to put into a table or grid. [from 15th c.]
1389,appeared,simple past tense and past participle of appear
1390,river,One who rives or splits.
1391,river,"A large and often winding stream which drains a land mass, carrying water down from higher areas to a lower point, ending at an ocean or in an inland sea."
1392,river,(poker) To improve one’s hand to beat another player on the final card in a poker game.
1393,continued,(dated) Prolonged; unstopped.
1394,continued,simple past tense and past participle of continue
1395,continued,the word continued when placed in the end of the page to show it is to be continued
1396,eye,An organ through which animals see.
1397,eye,(transitive) To observe carefully or appraisingly.
1398,eye,A brood.
1399,ety,Abbreviation of etymology.
1400,sun,The star that the Earth revolves around and from which it receives light and warmth.
1401,sun,"(astronomy) A star, especially when seen as the centre of any single solar system."
1402,sun,(transitive) To expose to the warmth and radiation of the sun.
1403,sun,"A traditional Japanese unit of length, approximately 30.3 millimetres (1.193 inches)."
1404,sun,Alternative form of sunn (“the plant”)
1405,information,"That which resolves uncertainty; anything that answers the question of ""what a given entity is""."
1406,later,comparative form of late: more late
1407,later,comparative form of late: more late
1408,later,(slang) See you later; goodbye.
1409,everything,(literally) All the things under discussion.
1410,reached,simple past tense and past participle of reach
1411,suddenly,Happening quickly and with little or no warning; in a sudden manner.
1412,past,"The period of time that has already happened, in contrast to the present and the future."
1413,past,Having already happened; in the past; finished. [from 14th c.]
1414,past,in a direction that passes
1415,past,"Beyond in place, quantity or time."
1416,hours,plural of hour
1417,strange,"Not normal; odd, unusual, surprising, out of the ordinary."
1418,strange,"(obsolete, transitive) To alienate; to estrange."
1419,strange,"(slang, uncountable) vagina"
1420,deep,"(heading, of a physical distance) Extending far away from a point of reference, especially downwards."
1421,deep,Deeply.
1422,deep,"(literary, with ""the"") The deep part of a lake, sea, etc."
1423,change,(intransitive) To become something different.
1424,change,(countable) The process of becoming different.
1425,miles,plural of mile
1426,miles,much; a lot (used to emphasise a comparative)
1427,feeling,Emotionally sensitive.
1428,feeling,"Sensation, particularly through the skin."
1429,feeling,present participle of feel
1430,act,"(countable) Something done, a deed."
1431,act,(intransitive) To do something.
1432,meet,(archaic) Suitable; right; proper.
1433,meet,To make contact (with) while in proximity.
1434,meet,"A sports competition, especially for track and field (a track meet) or swimming (a swim meet)."
1435,paid,simple past tense and past participle of pay
1436,paid,That is not free of charge; that costs money.
1437,further,(transitive) To help forward; to assist.
1438,further,"comparative form of far: more far; of or pertaining to being distant, or of greater distance in degree or of extension in time."
1439,further,comparative form of far: more far
1440,purpose,An object to be reached; a target; an aim; a goal.
1441,purpose,(intransitive) To have set as one's purpose; resolve to accomplish; intend; plan.
1442,happy,"Having a feeling arising from a consciousness of well-being or of enjoyment; enjoying good of any kind, such as comfort, peace, or tranquillity; blissful, contented, joyous."
1443,happy,preceded by the: happy people as a group.
1444,happy,"(informal, rare) A happy event, thing, person, etc."
1445,happy,"(intransitive) Often followed by up: to become happy; to brighten up, to cheer up."
1446,added,simple past tense and past participle of add
1447,seem,(copulative) To appear; to look outwardly; to be perceived as.
1448,taking,Alluring; attractive.
1449,taking,The act by which something is taken.
1450,taking,present participle of take
1451,blood,"A vital liquid flowing in the bodies of many types of animals that usually conveys nutrients and oxygen. In vertebrates, it is colored red by hemoglobin, is conveyed by arteries and veins, is pumped by the heart and is usually generated in bone marrow."
1452,blood,To cause something to be covered with blood; to bloody.
1453,rose,"A shrub of the genus Rosa, with red, pink, white or yellow flowers."
1454,rose,"(poetic, transitive) To make rose-coloured; to redden or flush."
1455,rose,Having a purplish-red or pink colour. See rosy.
1456,rose,Alternative spelling of rosé
1457,rose,simple past tense of rise
1458,south,"One of the four major compass points, specifically 180°, directed toward the South Pole, and conventionally downwards on a map, abbreviated as S."
1459,south,Toward the south; southward.
1460,south,Toward the south; southward.
1461,south,To turn or move toward the south; to veer toward the south.
1462,beyond,Further away than. (Can we add an example for this sense?)
1463,beyond,Farther along or away.
1464,beyond,(uncountable) The unknown.
1465,cold,(of a thing) Having a low temperature.
1466,cold,A condition of low temperature.
1467,cold,While at low temperature.
1468,neither,Not one of two; not either.
1469,neither,not either one
1470,neither,Not either (used with nor).
1471,neither,(conjunctive) similarly not
1472,forward,(dialectal or obsolete) Agreement; covenant.
1473,forward,Toward the front or at the front.
1474,forward,Towards the front or from the front.
1475,forward,"(transitive) To advance, promote."
1476,forward,"(rugby) One of the eight players (comprising two props, one hooker, two locks, two flankers and one number eight, collectively known as the pack) whose primary task is to gain and maintain possession of the ball (compare back)."
1477,view,(physical) Visual perception.
1478,view,(transitive) To look at.
1479,position,A place or location.
1480,position,To put into place.
1481,sound,A sensation perceived by the ear caused by the vibration of air or some other medium.
1482,sound,(intransitive) To produce a sound.
1483,sound,"(geography) A long narrow inlet, or a strait between the mainland and an island; also, a strait connecting two seas, or connecting a sea or lake with the ocean."
1484,sound,"(intransitive) Dive downwards, used of a whale."
1485,sound,(medicine) An instrument for probing or dilating; a sonde.
1486,sound,"A long, thin probe for sounding body cavities or canals such as the urethra."
1487,sound,Healthy.
1488,sound,Soundly.
1489,sound,"(Britain, slang) Yes; used to show agreement or understanding, generally without much enthusiasm."
1490,none,Not any of a given number or group.
1491,none,(archaic outside Scotland) Not any; no.
1492,none,"To no extent, in no way. [from 11th c.]"
1493,none,A person without religious affiliation.
1494,none,Alternative form of nones: the ninth hour after dawn; (Christian) the religious service appointed to this hour.
1495,entered,simple past tense and past participle of enter
1496,clear,Transparent in colour.
1497,clear,All the way; entirely.
1498,clear,(transitive) To remove obstructions or impediments from.
1499,clear,"(carpentry) Full extent; distance between extreme limits; especially; the distance between the nearest surfaces of two bodies, or the space between walls."
1500,road,(obsolete) The act of riding on horseback. [9th-17th c.]
1501,road,"(US, Canada, sports, chiefly attributive) At the venue of the opposing team or competitor; on the road."
1502,late,Near the end of a period of time.
1503,late,(informal) A shift (scheduled work period) that takes place late in the day or at night.
1504,late,"After a deadline has passed, past a designated time."
1505,stand,(heading) To position or be positioned physically.
1506,stand,The act of standing.
1507,suppose,"(transitive) To take for granted; to conclude, with less than absolute supporting data; to believe."
1508,la,"Prefixed to the name of a woman, with ironic effect (as though an opera prima donna)."
1509,la,Represents the sound of music or singing.
1510,la,"(Liverpudlian) lad, lid"
1511,la,(music) A syllable used in solfège to represent the sixth note of a major scale.
1512,la,(obsolete) Used to introduce a statement with emphatic or intensive effect.
1513,daughter,One’s female offspring.
1514,real,"A unit of currency used in Portugal and its colonies from 1430 until 1911, and in Brazil from 1790 until 1942"
1515,real,"True, genuine, not merely nominal or apparent."
1516,real,"(US, colloquial) Really, very."
1517,real,A commodity; see realty.
1518,real,Former unit of currency of Spain and Spain's colonies.
1519,nearly,(now rare) With great scrutiny; carefully. [from 16th c.]
1520,mine,My; belonging to me; that which belongs to me.
1521,mine,"An excavation from which ore or solid minerals are taken, especially one consisting of underground tunnels."
1522,mine,"(transitive, intransitive) To remove (ore) from the ground."
1523,mine,Alternative form of mien
1524,laws,plural of law
1525,laws,Third-person singular simple present indicative form of law
1526,knowledge,"The fact of knowing about something; general understanding or familiarity with a subject, place, situation etc. [from 14th c.]"
1527,knowledge,(obsolete) To confess as true; to acknowledge. [13th-17th c.]
1528,comes,Third-person singular simple present indicative form of come
1529,comes,"(music) The answer to the theme, or dux, in a fugue."
1530,toward,In the direction of.
1531,toward,"Yielding, pliant; docile; ready or apt to learn; not froward."
1532,bad,"(Britain, dialectal, transitive) To shell (a walnut)."
1533,bad,(archaic) Alternative past tense of bid. See bade.
1534,bad,(Should we move(+) this sense?) (slang) Fantastic.
1535,bad,Unfavorable; negative; not good.
1536,bad,(now colloquial) Badly.
1537,bad,"(slang) Error, mistake."
1538,cut,"(heading, transitive) To incise, to cut into the surface of something."
1539,cut,(participial adjective) Having been cut.
1540,cut,An opening resulting from cutting.
1541,copy,The result of copying; an identical duplicate of an original.
1542,copy,(transitive) To produce an object identical to a given object.
1543,husband,(obsolete) The master of a house; the head of a family; a householder.
1544,husband,(transitive) To manage or administer carefully and frugally; use to the best advantage; economise.
1545,six,(cardinal) A numerical value equal to 6; the number following five and preceding seven. This many dots: (••••••).
1546,six,The digit or figure 6.
1547,France,"The French Republic, a country in western Europe and member state of the European Union (since 1993), having Paris as its capital city, bounded by Belgium, Luxembourg, Germany, Switzerland, Italy, Monaco, Andorra, and Spain."
1548,living,present participle of live
1549,living,Having life.
1550,living,(uncountable) The state of being alive.
1551,peace,"A state of tranquility, quiet, and harmony; absence of violence. For instance, a state free from civil disturbance."
