,Word,definition
3951,demand,The desire to purchase goods and services.
3956,fields,plural of field
3958,drove,A number of cattle driven to market or new pastures.
3964,sum,A quantity obtained by addition or aggregation.
3967,motion,(uncountable) A state of progression from one place to another.
3969,assistance,Aid; help; the act or result of assisting.
3973,stones,plural of stone
3977,fees,plural of fee
3981,dignity,The state of being dignified or worthy of esteem: elevation of mind or character.
3982,catch,(countable) The act of seizing or capturing.   syn.
3987,knees,plural of knee
3990,current,The part of a fluid that moves continuously in a certain direction.
3994,parties,plural of party
3996,objects,plural of object
4004,slave,A person who is the property of another person and whose labor (and sometimes also whose life) is subject to the owner's volition.
4014,text,"A writing consisting of multiple glyphs, characters, symbols or sentences."
4024,don,"A university professor, particularly one at Oxford or Cambridge."
4033,terror,"(countable, uncountable) Intense dread, fright, or fear."
4046,firm,"(Britain, business) A business partnership; the name under which it trades."
4057,proof,"(countable) An effort, process, or operation designed to establish or discover a fact or truth; an act of testing; a test; a trial."
4064,join,An intersection of piping or wiring; an interconnect.
4066,process,A series of events which produce a result (the product).
4069,crime,(countable) A specific act committed in violation of the law.
4071,dust,"(uncountable) Fine, dry particles of matter found in the air and covering the surface of objects, typically consisting of soil lifted up by the wind, pollen, hair, etc."
4074,lands,plural of land
4076,relation,The manner in which two things may be associated.
4077,doors,plural of door
4082,practical,(Britain) A part of an exam or series of exams in which the candidate has to demonstrate their practical ability
4084,colour,"Australia, Canada, Ireland, New Zealand,  and Britain standard spelling of color."
4090,anger,"A strong feeling of displeasure, hostility or antagonism towards someone or something, usually combined with an urge to harm."
4093,results,plural of result
4097,reasons,plural of reason
4099,nose,"A protuberance on the face housing the nostrils, which are used to breathe or smell."
4104,entrance,"(countable) The action of entering, or going in."
4106,rooms,plural of room
4117,yesterday,The day immediately before today; one day ago.
4131,choice,An option; a decision; an opportunity to choose or select something.
4147,cover,A lid.
4154,victory,(countable) An instance of having won a competition or battle or succeeded in an effort.
4156,dozen,A set of twelve.
4163,release,"The event of setting (someone or something) free (e.g. hostages, slaves, prisoners, caged animals, hooked or stuck mechanisms)."
4171,shows,plural of show
4173,fly,"(zoology) Any insect of the order Diptera; characterized by having two wings (except for some wingless species), also called true flies."
4179,praise,commendation; favourable representation in words
4181,devil,(theology) An evil creature.
4184,smith,"A craftsperson who works metal into desired forms using a hammer and other tools, sometimes heating the metal to make it more workable, especially a blacksmith."
4188,degrees,plural of degree
4195,addition,(uncountable) The act of adding anything.
4198,chamber,"A room or set of rooms, particularly:"
4200,notes,plural of note
4205,acquaintance,"(uncountable) A state of being acquainted, or of having intimate, or more than slight or superficial, knowledge; personal knowledge gained by intercourse short of that of friendship or intimacy; acquaintanceship."
4208,souls,plural of soul
4210,mission,(countable) A set of tasks that fulfills a purpose or duty; an assignment set by an employer.
4214,cities,plural of city
4215,mistake,An error; a blunder.
4217,exercise,Any activity designed to develop or hone a skill or ability.
4219,conscience,"The moral sense of right and wrong, chiefly as it affects one's own behaviour."
4222,car,"A wheeled vehicle that moves independently, with at least three wheels, powered mechanically, steered by a driver and mostly for personal transportation; a motorcar or automobile."
4227,theory,A description of an event or system that is considered to be accurate.
4231,minister,"A person who is trained to preach, to perform religious ceremonies and to afford pastoral care at a Protestant church."
4234,energy,The impetus behind all motion and all activity.
4237,dick,"(countable, obsolete) A male person."
4247,mistress,"A woman, specifically one with great control, authority or ownership."
4249,hate,An object of hatred.
4252,playing,"(gerund of play) An occasion on which something, such as a song or show, is played."
4254,color,(uncountable) The spectral composition of visible light
4257,lake,(now  chiefly  dialectal) A small stream of running water; a channel for water; a drain.
4263,safety,The condition or feeling of being safe; security; certainty.
4265,provisions,plural of provision
4267,description,A sketch or account of anything in words; a portraiture or representation in language; an enumeration of the essential qualities of a thing or species.
4269,centre,"(British spelling, Canadian, Irish, South African, Australian and New Zealand) Alternative spelling of center. There is evidence that this is an older spelling in the United States, especially in some place names."
4276,parents,plural of parent
4282,drop,"A small mass of liquid just large enough to hold its own weight via surface tension, usually one that falls from a source of liquid."
4292,worship,"(obsolete) The condition of being worthy; honour, distinction."
4294,goods,plural of good
4296,tale,(obsolete) Number; tally; quota.
4299,skin,"(uncountable) The outer protective layer of the body of any animal, including of a human."
4301,roof,The external covering at the top of a building
4307,crown,"A royal, imperial or princely headdress; a diadem."
4311,castle,A large building that is fortified and contains many defences; in previous ages often inhabited by a nobleman or king.
4315,throne,"An impressive seat used by a monarch, often on a raised dais in a throne room and reserved for formal occasions."
4321,ease,"Ability, the means to do something, particularly:"
4325,total,An amount obtained by the addition of smaller amounts.
4328,kindness,The state of being kind.
4329,mile,"The international mile: a unit of length precisely equal to 1.609344 kilometers established by treaty among Anglophone nations in 1959, divided into 5,280 feet or 1,760 yards."
4330,citizens,plural of citizen
4331,circle,"(geometry) A two-dimensional geometric figure, a line, consisting of the set of all those points in a plane that are equally distant from a given point (center)."
4338,clouds,plural of cloud
4340,figures,plural of figure
4342,intention,The goal or purpose behind a specific action or set of actions.
4344,prison,"A place or institution of confinement, especially of long-term confinement for those convicted of serious crimes or otherwise considered undesirable by the government."
4346,term,"Limitation, restriction or regulation. (Can we add an example for this sense?)"
4357,cup,"A concave vessel for drinking from, usually made of opaque material (as opposed to a glass) and with a handle."
4360,member,One who officially belongs to a group.
4364,labor,American spelling standard spelling of labour.
4367,intelligence,"(chiefly uncountable) Capacity of mind, especially to understand principles, truths, facts or meanings, acquire knowledge, and apply it to practice; the ability to comprehend and learn."
4372,fellows,plural of fellow
4376,event,An occurrence; something that happens.
4379,connection,(uncountable) The act of connecting.
4380,protection,The process of keeping (something or someone) safe.
4383,edition,"(publishing) A written work edited and published, as by a certain editor or in a certain manner."
4388,flight,The act of flying.
4394,wishes,plural of wish
4396,yards,plural of yard
4398,voices,plural of voice
4402,couple,Two partners in a romantic or sexual relationship.
4406,variety,The quality of being varied; diversity.
4408,volume,"A three-dimensional measure of space that comprises a length, a width and a height. It is measured in units of cubic centimeters in metric, cubic inches or cubic feet in English measurement."
4413,requirements,plural of requirement
4414,custom,"Frequent repetition of the same behavior; way of behavior common to many; ordinary manner; habitual practice; method of doing, living or behaving."
4422,bow,"A weapon made of a curved piece of wood or other flexible material whose ends are connected by a string, used for shooting arrows."
4428,labour,"Effort expended on a particular task; toil, work."
4432,lover,"One who loves and cares for another person in a romantic way; a sweetheart, love, soulmate, boyfriend, or girlfriend."
4438,suit,"A set of clothes to be worn together, now especially a man's matching jacket and trousers (also business suit or lounge suit), or a similar outfit for a woman."
4448,pictures,plural of picture
4452,volunteers,plural of volunteer
4453,singing,The act of using the voice to produce musical sounds; vocalizing.
4463,meat,(uncountable) The flesh (muscle tissue) of an animal used as food. [from 14th c.]
4467,milk,"(uncountable) A white liquid produced by the mammary glands of female mammals to nourish their young. From certain animals, especially cows, it is also called dairy milk and is a common food for humans as a beverage or used to produce various dairy products such as butter, cheese, and yogurt."
4468,dogs,plural of dog
4471,plants,plural of plant
4473,vision,(uncountable) The sense or ability of sight.
4486,manners,plural of manner
4488,cousin,The child of a person’s uncle or aunt; a first cousin.
4489,development,"(uncountable) The process of developing; growth, directed change."
4498,trial,An opportunity to test something out; a test.
4501,learning,(uncountable) An act in which something is learned.
4505,bridge,A construction or natural feature that spans a divide.
4515,writer,"A person who writes, or produces literary work."
4516,fn,Abbreviation of footnote.
4522,stock,A store or supply.
4525,readers,plural of reader
4534,type,A grouping based on shared characteristics; a class.
4538,salt,"A common substance, chemically consisting mainly of sodium chloride (NaCl), used extensively as a condiment and preservative."
4543,signs,plural of sign
4547,temper,"A tendency to be in a certain type of mood; a habitual way of thinking, behaving or reacting."
4549,plenty,A more-than-adequate amount.
4555,pope,"(Roman Catholicism  and  generally) An honorary title of the Roman Catholic bishop of Rome as father and head of his church, a sovereign of the Vatican city state."
4563,favor,A kind or helpful deed; an instance of voluntarily assisting (someone).
4568,attitude,The position of the body or way of carrying oneself; posture.
4572,admiration,A positive emotion including wonder and approbation; the regarding of another as being wonderful
4573,brothers,plural of brother
4575,anxiety,"An unpleasant state of mental uneasiness, nervousness, apprehension and obsession or concern about some uncertain event."
4576,queen,A female monarch. Example: Queen Victoria.
4583,curiosity,"(uncountable) Inquisitiveness; the tendency to ask and learn about things by asking questions, investigating, or exploring. [from 17th c.]"
4585,causes,plural of cause
4587,vessels,plural of vessel
4590,dance,"A sequence of rhythmic steps or movements usually performed to music, for pleasure or as a form of social interaction."
4592,hotel,"(now chiefly historical) A large town house or mansion; a grand private residence, especially in France. [from 17th c.]"
4600,guns,plural of gun
4609,guide,"Someone who guides, especially someone hired to show people around a place or an institution and offer information and explanation."
4612,earnest,Gravity; serious purpose; earnestness.
4617,companions,plural of companion
4618,prisoner,"A person incarcerated in a prison, while on trial or serving a sentence."
4621,lad,A boy or young man.
4622,harm,physical injury; hurt; damage
4624,views,plural of view
4626,Irish,"(uncountable) The Goidelic language indigenous to Ireland, also known as Irish Gaelic."
4630,ends,plural of end
4632,shop,"An establishment that sells goods or services to the public; originally only a physical location, but now a virtual establishment as well."
4635,stairs,plural of stair
4637,pardon,Forgiveness for an offence.
4648,kinds,plural of kind
4649,record,An item of information put into a temporary or permanent physical medium.
4656,sand,"(uncountable) Rock that is ground more finely than gravel, but is not as fine as silt (more formally, see grain sizes chart), forming beaches and deserts and also used in construction."
4662,branches,plural of branch
4675,departure,The act of departing or something that has departed.
4678,gift,"Something given to another voluntarily, without charge."
4680,ruin,"(countable, sometimes in the plural) The remains of a destroyed or dilapidated construction, such as a house or castle."
4683,skill,"Capacity to do something well; technique, ability. Skills are usually acquired or learned, as opposed to abilities, which are often thought of as innate."
4685,cattle,"Domesticated bovine animals (cows, bulls, steers etc)."
4686,equipment,"The act of equipping, or the state of being equipped, as for a voyage or expedition."
4687,temple,"A house of worship, especially"
4691,calls,plural of call
4695,license,A legal document giving official permission to do something; a permit.
4699,en,English
4705,natives,plural of native
4706,wound,"An injury, such as a cut, stab, or tear, to a (usually external) part of the body."
4709,laughter,"The sound of laughing, produced by air so expelled; any similar sound."
4722,bold,(obsolete) A dwelling; habitation; building.
4727,witness,(uncountable) Attestation of a fact or event; testimony.
4731,kitchen,A room or area for preparing food.
4743,treatment,The process or manner of treating someone or something.
4744,throat,The front part of the neck.
4746,dreams,plural of dream
4751,speed,The state of moving quickly or the capacity for rapid motion; rapidity.
4752,growth,"An increase in size, number, value, or strength."
4753,quantity,"A fundamental, generic term used when referring to the measurement (count, amount) of a scalar, vector, number of items or to some other way of denominating the value of a collection or group of items."
4757,conclusion,"The end, finish, close or last part of something."
4758,computer,"(now rare, chiefly historical) A person employed to perform computations; one who computes. [from 17th c.]"
4765,triumph,"A conclusive success following an effort, conflict, or confrontation of obstacles; victory; conquest."
4767,origin,The beginning of something.
4775,audience,"A group of people within hearing; specifically, a large gathering of people listening to or watching a performance, speech, etc. [from 15th c.]"
4776,pages,plural of page
4778,sounds,plural of sound
4786,wings,plural of wing
4790,services,"(business, economics) That which is produced, then traded, bought or sold, then finally consumed and consists of an action or work."
4792,library,"An institution which holds books and/or other forms of stored information for use by the public or qualified people. It is usual, but not a defining feature of a library, for it to be housed in rooms of a building, to lend items of its collection to members either with or without payment, and to provide various other services for its community of users."
4800,base,Something from which other things extend; a foundation.
4802,confusion,A lack of clarity or order.
4807,maid,(dated or poetic) A girl or an unmarried young woman; maiden.
4811,editions,plural of edition
4815,reality,The state of being actual or real.
4819,site,"(obsolete) Sorrow, grief."
4823,sail,"(nautical) A piece of fabric attached to a boat and arranged such that it causes the wind to drive the boat along. The sail may be attached to the boat via a combination of mast, spars and ropes."
4832,article,"A part or segment of something joined to other parts, or, in combination, forming a structured set."
4834,prisoners,plural of prisoner
4835,store,A place where items may be accumulated or routinely kept.
4839,remark,Act of pointing out or attentively noticing; notice or observation.
4843,cook,(cooking) A person who prepares food for a living.
4847,thousands,plural of thousand
4855,band,A strip of material used for strengthening or coupling.
4863,desert,(usually in the plural) That which is deserved or merited; a just punishment or reward
4867,effects,plural of effect
4871,plant,"(botany) An organism that is not an animal, especially an organism capable of photosynthesis. Typically a small or herbaceous organism of this kind, rather than a tree."
4873,ice,(uncountable) Water in frozen (solid) form.
4876,ball,"A solid or hollow sphere, or part thereof."
4879,stick,"An elongated piece of wood or similar material, typically put to some use, for example as a wand or baton."
4892,argument,A fact or statement used to support a proposition; a reason.
4897,bosom,"(anatomy, somewhat  dated) The breast or chest of a human (or sometimes of another animal). [from 11thc.]"
4900,rage,Violent uncontrolled anger.
4905,discovery,Something discovered.
4906,creatures,plural of creature
4916,punishment,"The act or process of punishing, imposing and/or applying a sanction."
4917,gun,A device for projecting a hard object very forcefully; a firearm or cannon.
4921,articles,plural of article
4923,police,A civil force granted the legal authority for law enforcement and maintaining public order. [from 18th c.]
4929,shade,"(uncountable) Darkness where light, particularly sunlight, is blocked."
4931,murder,"(countable) An act of deliberate killing of another being, especially a human."
4933,emotion,"A person's internal state of being and involuntary physiological response to an object or a situation, based on or tied to physical state and sensory data."
4934,destruction,The act of destroying.
4944,expedition,(obsolete) The act of expediting something; prompt execution.
4946,horror,"(countable, uncountable) An intense distressing emotion of fear or repugnance."
4949,expenses,plural of expense
4953,doctrine,"(countable) A belief or tenet, especially about philosophical or theological matters."
4955,range,"A line or series of mountains, buildings, etc."
4958,host,"One which receives or entertains a guest, socially, commercially, or officially."
4964,cloud,(obsolete) A rock; boulder; a hill.
4966,mystery,Something secret or unexplainable; an unknown. [From XIV century.]
4967,ed,edition
4970,waste,"Excess of material, useless by-products or damaged, unsaleable products; garbage; rubbish."
4972,changes,plural of change
4975,consciousness,The state of being conscious or aware; awareness.
4977,trembling,a tremble
4979,disease,"(pathology) An abnormal condition of a human, animal or plant that causes discomfort or dysfunction; distinct from injury insofar as the latter is usually instantaneously acquired."
4984,production,"The act of producing, making or creating something. [from 15th c.]"
4985,source,"The person, place, or thing from which something (information, goods, etc.) comes or is acquired."
4987,mankind,The human race in its entirety.
4990,deck,Any raised flat surface that can be walked on: a balcony; a porch; a raised patio; a flat rooftop.
4995,habits,plural of habit
4997,estate,"The collective property and liabilities of someone, especially a deceased person. [from 19thc.]"
5000,aunt,The sister or sister-in-law of one’s parent.
5001,reign,The exercise of sovereign power.
5007,compliance,An act of complying.
5008,delay,A period of time before an event occurs; the act of delaying; procrastination; lingering inactivity.
5019,midnight,"(historical) The middle of the night: the sixth temporal hour, equidistant between sunset and sunrise."
5025,flower,"A colorful, conspicuous structure associated with angiosperms, frequently scented and attracting various insects, and which may or may not be used for sexual reproduction."
5027,hero,Somebody who possesses great bravery and carries out extraordinary deeds.
5031,classes,plural of class
5036,banks,plural of bank
5038,philosophy,"(uncountable, originally) The love of wisdom."
5042,finger,"(anatomy) A slender jointed extremity of the human hand, (often) exclusive of the thumb."
5046,market,City square or other fairly spacious site where traders set up stalls and buyers browse the merchandise.
5051,cap,"A close-fitting hat, either brimless or peaked."
5057,waves,plural of wave
5062,difficulties,plural of difficulty
5065,purposes,plural of purpose
5073,press,(countable) A device used to apply pressure to an item.
5074,household,"Collectively, all the persons who live in a given house; a family including attendants, servants etc.; a domestic or family establishment."
5079,fleet,A group of vessels or vehicles.
5080,baby,"A very young human, particularly from birth to a couple of years old or until walking is fully mastered."
5083,region,"Any considerable and connected part of a space or surface; specifically, a tract of land or sea of considerable but indefinite extent; a country; a district; in a broad sense, a place without special reference to location or extent but viewed as an entity for geographical, social or cultural reasons."
5089,image,An optical or other representation of a real object; a graphic; a picture.
5091,ages,plural of age
5096,suspicion,"The act of suspecting something or someone, especially of something wrong."
5106,staff,"(plural staffs or staves) A long, straight, thick wooden rod or stick, especially one used to assist in walking."
5109,liability,The condition of being liable.
5118,reward,Something of value given in return for an act.
5122,meal,"Food that is prepared and eaten, usually at a specific time, and usually in a comparatively large quantity (as opposed to a snack, which is a comparatively small quantity of food)."
5124,blame,Censure.
5126,status,"A person’s condition, position or standing relative to that of others."
5127,opinions,plural of opinion
5130,poem,A literary piece written in verse.
5135,voyage,"A long journey, especially by ship."
5137,misery,Great unhappiness; extreme pain of body or mind; wretchedness; distress; woe.
5138,guests,plural of guest
5146,job,A task.
5149,loves,plural of love
5151,forehead,(countable) The part of the face above the eyebrows and below the hairline.
5155,risk,"A possible, usually negative, outcome, e.g., a danger."
5159,ad,advertisement.
5162,angel,"An incorporeal and sometimes divine messenger from a deity, or other divine entity, often depicted in art as a youthful winged figure in flowing robes."
5174,wit,"(now  usually  in the plural, plural only) Sanity."
5175,fame,"(now rare) What is said or reported; gossip, rumour."
5179,error,"(uncountable) The state, quality, or condition of being wrong."
5183,methods,plural of method
5185,reputation,What somebody is known for.
5193,lack,(obsolete) A defect or failing; moral or spiritual degeneracy.
5199,violence,Extreme force.
5206,career,One's calling in life; a person's occupation; one's profession.
5208,design,"A plan (with more or less detail) for the structure and functions of an artifact, building or system."
5213,commercial,"An advertisement in a common media format, usually radio or television."
5216,lights,plural of light
5220,suggestion,(countable) Something suggested (with subsequent adposition being for)
5225,sheep,(countable) A woolly ruminant of the genus Ovis.
5226,resolution,"A strong will, determination."
5230,patience,The quality of being patient.
5234,farm,"A place where agricultural and similar activities take place, especially the growing of crops or the raising of livestock."
5237,reference,(literary or archaic) A relationship or relation (to something).
5240,corn,"(Britain, uncountable) The main cereal plant grown for its grain in a given region, such as oats in parts of Scotland and Ireland, and wheat or barley in England and Wales."
5254,jane,"(obsolete) A silver Genovese coin, first used in England in the 14th century."
5255,issue,"The action or an instance of flowing or coming out, an outflow, particularly:"
5257,key,An object designed to open and close a lock.
5265,majority,More than half (50%) of some group
5266,measures,plural of measure
5268,towns,plural of town
5269,flame,"The visible part of fire; a stream of burning vapour or gas, emitting light and heat."
5274,ignorance,The condition of being uninformed or uneducated. Lack of knowledge or information.
5279,weakness,(uncountable) The condition of being weak.
5282,china,"(uncountable) The root of a climbing plant, Smilax china L., once believed to have important medicinal properties."
5284,priests,plural of priest
5289,cloth,"(countable, uncountable) A woven fabric such as used in dressing, decorating, cleaning or other practical use."
5291,profit,"(accounting, economics) Total income or cash flow minus expenditures. The money or other benefit a non-governmental organization or individual receives in exchange for products and services sold at an advertised price."
5297,bell,"A percussive instrument made of metal or other hard material, typically but not always in the shape of an inverted cup with a flared rim, which resonates when struck."
5300,benefit,An advantage; help or aid from something.
5302,movements,plural of movement
5307,ascii,(obsolete) plural of ascian
5311,atmosphere,The gases surrounding the Earth or any astronomical body.
5312,chapter,(authorship) One of the main sections into which the text of a book is divided.
5317,hole,"A hollow place or cavity; an excavation; a pit; an opening in or through a solid body, a fabric, etc.; a perforation; a rent; a fissure."
5327,files,plural of file
5330,sugar,"(uncountable) Sucrose in the form of small crystals, obtained from sugar cane or sugar beet and used to sweeten food and drink."
5333,replacement,A person or thing that takes the place of another; a substitute.
5334,sigh,"A deep, prolonged audible inhale and exhale of breath; as when fatigued, frustrated, grieved, or relieved; the act of sighing."
5337,humanity,Mankind; human beings as a group.
5338,thrust,(fencing) An attack made by moving the sword parallel to its length and landing with the point.
5342,opposition,The action of opposing or of being in conflict.
5343,disk,"A thin, flat, circular plate or similar object."
5345,haste,Speed; swiftness; dispatch.
5348,artist,A person who creates art.
5351,knight,"A warrior, especially of the Middle Ages."
5352,quarters,plural of quarter.
5353,charm,"An object, act or words believed to have magic power (usually carries a positive connotation)."
5356,substance,Physical matter; material.
5359,email,"(uncountable) A system for transferring messages from one computer to another, usually via a network."
5365,division,(uncountable) The act or process of dividing anything.
5366,slavery,"An institution or social practice of owning human beings as property, especially for use as forced laborers."
5370,verse,A poetic form with regular meter and a fixed rhyme scheme.
5372,decision,The act of deciding.
5377,governor,(politics) The chief executive officer of a province or provincial-level division of a country.
5382,branch,The woody part of a tree arising from the trunk and usually dividing.
5384,ocean,(countable) One of the large bodies of water separating the continents.
5392,leader,any person that leads or directs
5395,boats,plural of boat
5401,disposition,The arrangement or placement of certain things.
5403,senses,plural of sense
5405,occasions,plural of occasion
5411,inches,plural of inch
5413,bones,plural of bone
5416,enthusiasm,(obsolete or historical) Possession by a god; divine inspiration or frenzy.
5417,materials,plural of material
5419,luck,"Something that happens to someone by chance, a chance occurrence, especially a favourable one."
5424,community,"(countable) A group sharing a common understanding, and often the same language, law, manners, and/or tradition."
5428,hurry,Rushed action.
5430,scheme,A systematic plan of future action.
5432,oil,Liquid fat.
5445,pipe,Meanings relating to a wind instrument.
5465,centuries,plural of century
5466,eggs,plural of egg
5483,noon,(obsolete) The ninth hour of the day counted from sunrise; around three o'clock in the afternoon.
5489,generations,plural of generation
5491,cabin,"(US) A small dwelling characteristic of the frontier, especially when built from logs with simple tools and not constructed by professional builders, but by those who meant to live in it."
5493,announcement,"An act of announcing, or giving notice."
5504,circumstance,"That which attends, or relates to, or in some way affects, a fact or event; an attendant thing or state of things."
5510,tent,"A pavilion or portable lodge consisting of skins, canvas, or some strong cloth, stretched and sustained by poles, used for sheltering people from the weather."
5515,alarm,"A summons to arms, as on the approach of an enemy."
5518,beast,"Any animal other than a human; usually only applied to land vertebrates, especially large or dangerous four-footed ones."
5525,gates,plural of gate
5527,distinction,"That which distinguishes; a single occurrence of a determining factor or feature, the fact of being divided; separation, discrimination."
5530,observation,"The act of observing, and the fact of being observed."
5535,loving,The action of the verb to love.
5538,masters,plural of master
5541,writers,plural of writer
5552,gratitude,The state of being grateful.
5553,preserve,A sweet spread made of any of a variety of fruits.
5555,burden,A heavy load.
5558,aspect,"Any specific feature, part, or element of something."
5560,millions,plural of million
5563,knife,"A utensil or a tool designed for cutting, consisting of a flat piece of hard material, usually steel or other metal (the blade), usually sharpened on one edge, attached to a handle. The blade may be pointed for piercing."
5570,district,An administrative division of an area.
5573,shadows,plural of shadow
5575,silk,(chiefly uncountable) A fine fiber excreted by the silkworm or other arthropod (such as a spider).
5577,failure,"State or condition of not meeting a desirable or intended objective, opposite of success."
5578,links,plural of link
5581,cent,(money) A subunit of currency equal to one-hundredth of the main unit of currency in many countries. Symbol: ¢.
5582,sentiment,"A general thought, feeling, or sense."
5584,profits,plural of profit
5586,agent,"One who exerts power, or has the power to act"
5587,finds,plural of find
5591,Russian,(countable) A person from Russia.
5594,union,(countable) The act of uniting or joining two or more things into one.
5598,contempt,"(uncountable) The state or act of contemning; the feeling or attitude of regarding someone or something as inferior, base, or worthless; scorn, disdain."
5601,lords,plural of lord
5613,tribes,plural of tribe
5621,conviction,(countable) A firmly held belief.
5628,prayers,plural of prayer
5629,fever,"A higher than normal body temperature of a person (or, generally, a mammal), usually caused by disease."
5633,daughters,plural of daughter
5640,flew,"(chiefly plural) The thick, dangling upper lip of certain breeds of dog, or the canine equivalent of the upper lip."
5646,impulse,A thrust; a push; a sudden force that impels.
5657,ambition,"(uncountable, countable) Eager or inordinate desire for some object that confers distinction, as preferment, honor, superiority, political power, or literary fame; desire to distinguish one's self from other people."
5664,schools,plural of school
5669,rush,"Any of several stiff plants of the genus Juncus, or the family Juncaceae, having hollow or pithy stems and small flowers, and often growing in marshes or near water."
5673,falls,A waterfall.
5688,counsel,The exchange of opinions and advice especially in legal issues; consultation.
5690,distress,(Cause of) discomfort.
5692,sins,plural of sin
5694,notion,"Mental apprehension of whatever may be known, thought, or imagined; idea, concept."
5695,discussion,Conversation or debate concerning a particular topic.
5696,constitution,"The act, or process of setting something up, or establishing something; the composition or structure of such a thing; its makeup."
5697,hundreds,plural of hundred
5698,instrument,A device used to produce music.
5701,actions,plural of action
5706,remarks,plural of remark
5708,empire,A political unit having an extensive territory or comprising a number of territories or nations and ruled by a single supreme authority.
5710,elements,plural of element
5718,pen,"An enclosed area used to contain domesticated animals, especially sheep or cattle."
5728,tide,"The periodic change of the sea level, particularly when caused by the gravitational influence of the sun and the moon."
5730,vol,(heraldry) A pair of conjoined wings.
5732,college,(obsolete) A corporate group; a group of colleagues.
5737,tail,(anatomy) The caudal appendage of an animal that is attached to its posterior and near the anus.
5741,generation,"The fact of creating something, or bringing something into being; production, creation. [from 14th c.]"
5744,fears,plural of fear
5748,limitation,The act of limiting or the state of being limited.
5751,horrible,"A thing that causes horror; a terrifying thing, particularly a prospective bad consequence asserted as likely to result from an act."
5771,cat,An animal of the family Felidae:
5779,port,"A place on the coast at which ships can shelter, or dock to load and unload cargo or passengers."
5788,treaty,"(international law) A binding agreement concluded by subjects of international law, namely states and international organizations."
5789,contents,plural of content
5793,mode,(music) One of several ancient Greek scales.
5796,les,"(slang, colloquial) Short form of lesbian"
5799,seeking,The act of one who seeks; a search or quest to find something.
5805,reports,plural of report
5814,trace,An act of tracing.
5816,instinct,A natural or inherent impulse or behaviour.
5826,tribe,"A socially, ethnically, or politically cohesive group of people."
5828,costs,plural of cost
5832,arrangement,The act of arranging.
5837,beings,plural of being
5842,pressure,A pressing; a force applied to a surface.
5844,politics,"(countable) A methodology and activities associated with running a government, an organization, or a movement."
5846,sorts,plural of sort
5848,shelter,"A refuge, haven or other cover or protection from something."
5855,winds,plural of wind
5859,scenes,plural of scene
5862,industry,(uncountable) The tendency to work persistently. Diligence.
5863,claims,plural of claim
5865,pp.,Abbreviation of pages. (plural of p.)
5866,merit,(countable) A claim to commendation or a reward.
5868,profession,"A declaration of belief, faith or one's opinion."
5869,lamp,"A device that generates heat, light or other radiation. Especially an electric light bulb."
5871,interview,(obsolete) An official face-to-face meeting of monarchs or other important figures. [16th-19th c.]
5873,territory,"A large extent or tract of land; for example a region, country or district."
5878,sex,(countable) A category into which sexually-reproducing organisms are divided on the basis of their reproductive roles in their species.
5880,coffee,(uncountable) A beverage made by infusing the beans of the coffee plant in hot water.
5883,devotion,(uncountable) The act or state of devoting or being devoted.
5885,creation,(countable) Something created such as an invention or artwork.
5888,Romans,plural of Roman
5893,fathers,plural of father
5895,prospect,The region which the eye overlooks at one time; view; scene; outlook.
5901,operation,The method by which a device performs its function.
5904,nurse,(archaic) A wet-nurse.
5912,sisters,plural of sister
5916,match,"(sports) A competitive sporting event such as a boxing meet, a baseball game, or a cricket match."
5919,wrath,Great anger.
5923,rest.,Abbreviation of restitution.
5924,gifts,plural of gift
5926,folly,Foolishness.
5927,chain,A series of interconnected rings or links usually made of metal.
5932,debt,"An action, state of mind, or object one has an obligation to perform for another, adopt toward another, or give to another."
5933,teaching,Something taught by a religious or philosophical authority.
5935,venture,A risky or daring undertaking or journey.
5937,execution,"The act, manner or style of executing (actions, maneuvers, performances)."
5938,shoes,plural of shoe
5941,mood,"A mental or emotional state, composure."
5942,crew,A group of people together
5948,accounts,plural of account
5953,multitude,"A great amount or number, often of people; myriad; profusion; abundance."
5957,yard,"A small, usually uncultivated area adjoining or (now especially) within the precincts of a house or other building (Wikipedia)."
5961,astonishment,"amazement, great surprise"
5962,version,A specific form or variation of something.
5978,apartment,A complete domicile occupying only part of a building.
5979,activity,(uncountable) The state or quality of being active; activeness; the state of having many things happening
5980,wives,plural of wife
5982,security,"(uncountable) The condition of not being threatened, especially physically, psychologically, emotionally, or financially."
5989,Saturday,"The seventh day of the week in many religious traditions, and the sixth day of the week in systems using the ISO 8601 norm; observed as the Sabbath in Judaism (i.e., the Jewish Sabbath (Shabbat), Friday sunset to Saturday sunset); it follows Friday and precedes Sunday."
5991,cottage,A small house; a cot; a hut.
5993,Jews,plural of Jew
5995,leaning,A tendency or propensity.
5997,capacity,"The ability to hold, receive or absorb"
6001,joe,(informal) A male; a guy; a fellow.
6006,holder,A thing that holds.
6009,sunshine,"The direct rays, light or warmth of the sun."
6014,council,"A committee that leads or governs (e.g. city council, student council)."
6015,princes,plural of prince
6017,examination,The act of examining.
6018,steel,"An artificial metal produced from iron, harder and more elastic than elemental iron; used figuratively as a symbol of hardness."
6022,strangers,plural of stranger
6027,test,"A challenge, trial."
6033,widow,A woman whose spouse has died (and who has not remarried); feminine of widower.
6035,charity,"(countable) An organization, the objective of which is to carry out a charitable purpose."
